id,EAP,HPL,MWS
id02310,0.16581954351500766,0.019750648872820346,0.8144298076121721
id24541,0.9538502689762873,0.031379684999911166,0.014770046023801624
id00134,0.39766169902600357,0.5908722892488169,0.011466011725179576
id27757,0.8671944088117965,0.12348486486476172,0.009320726323441749
id04081,0.9516896186719079,0.027956815047328786,0.020353566280763444
id27337,0.6371237618976164,0.3407511199247042,0.022125118177679527
id24265,0.46962927484558126,0.5175640588451346,0.0128066663092842
id25917,0.12419320570942693,0.1967663951888042,0.6790403991017688
id04951,0.9916302564944732,0.006169662593742167,0.0022000809117846847
id14549,0.8610936665562474,0.0821216719675408,0.05678466147621173
id22505,0.12498098171945721,0.055088293284722895,0.8199307249958198
id24002,0.001752323453843482,0.9976644285605666,0.0005832479855899715
id18982,0.1173992523377834,0.785182331403397,0.09741841625881952
id15181,0.010186849058405828,0.9878347546369588,0.001978396304635389
id21888,0.7239692334608689,0.029752034363572568,0.24627873217555854
id12035,0.016456183004987752,0.0007123916411110092,0.9828314253539012
id17991,0.27864078484434557,0.019692490695935295,0.7016667244597191
id10707,0.9983914041274811,0.0003878029509076219,0.0012207929216111859
id07101,0.5184713691731544,0.03647632183627412,0.4450523089905716
id00345,0.032840137647131236,0.9610452737613637,0.006114588591505153
id05912,0.9502726126990773,0.008780309362279325,0.04094707793864334
id13443,0.8771754086570482,0.01452322927850784,0.108301362064444
id09248,0.3134746134549926,0.06380537394069423,0.6227200126043131
id17542,0.015934394132804897,0.9817288087809453,0.0023367970862499666
id06995,0.03714735307688481,0.003819972059842896,0.9590326748632724
id25159,0.6418515118409793,0.02576884788771699,0.3323796402713037
id25729,0.45348847670838227,0.5313148515029376,0.015196671788680225
id26949,0.9619691752533144,0.02613480351385826,0.011896021232827335
id27191,0.7340278411219706,0.029731223226734122,0.2362409356512953
id07668,0.24744781983612188,0.0038553640989614116,0.7486968160649167
id02230,0.19020232352764616,0.4132843297195484,0.3965133467528055
id15553,0.9535903202924967,0.004333365901310939,0.04207631380619237
id25688,0.01650263034844769,0.9764557508312214,0.007041618820330907
id17545,0.9907682281593803,0.002677574926566936,0.006554196914052759
id13929,0.3568757776200501,0.5223568012588804,0.12076742112106938
id12880,0.5220193373556608,0.30114670011710193,0.1768339625272374
id19282,0.5047234244212255,0.09797153995083568,0.3973050356279389
id14690,0.03627816307689154,0.002976911866919865,0.9607449250561887
id17975,0.009194336669682467,0.9856087610313106,0.005196902299006951
id08037,0.7717503923218729,0.01681599492555326,0.21143361275257389
id15412,0.12616654020935983,0.02634987944465618,0.847483580345984
id25032,0.493894372426144,0.038738053524472696,0.4673675740493834
id27165,0.9929958738859046,0.0023019727620837297,0.004702153352011695
id03327,0.9044655390863756,0.03772700313244847,0.05780745778117595
id18515,0.8509710616697886,0.011754505588671022,0.1372744327415403
